,date,value
605,2016-11-02,122.970001
606,2016-11-03,123.120003
607,2016-11-03,123.669998
608,2016-11-04,120.239998
609,2016-11-04,116.779999
610,2016-11-05,120.239998
611,2016-11-05,116.779999
612,2016-11-06,120.239998
613,2016-11-06,116.779999
614,2016-11-07,119.120003
615,2016-11-07,117.690002
616,2016-11-08,117.129997
617,2016-11-08,118.790001
618,2016-11-09,117.010002
619,2016-11-09,118.0
620,2016-11-10,118.669998
621,2016-11-10,122.269997
622,2016-11-11,121.550003
623,2016-11-11,121.480003
624,2016-11-12,121.550003
625,2016-11-12,121.480003
626,2016-11-13,121.550003
627,2016-11-13,121.480003
628,2016-11-14,120.959999
629,2016-11-14,122.489998
630,2016-11-15,123.730003
631,2016-11-15,123.330002
632,2016-11-16,123.169998
633,2016-11-16,122.669998
634,2016-11-17,122.790001
635,2016-11-17,124.599998
636,2016-11-18,124.790001
637,2016-11-18,124.82
638,2016-11-19,124.790001
639,2016-11-19,124.82
640,2016-11-20,124.790001
641,2016-11-20,124.82
642,2016-11-21,125.099998
643,2016-11-21,123.889999
644,2016-11-22,124.370003
645,2016-11-22,124.82
646,2016-11-23,124.82
647,2016-11-23,124.559998
648,2016-11-24,124.82
649,2016-11-24,124.559998
650,2016-11-25,124.550003
651,2016-11-25,125.300003
652,2016-11-26,124.550003
653,2016-11-26,125.300003
654,2016-11-27,124.550003
655,2016-11-27,125.300003
656,2016-11-28,124.82
657,2016-11-28,124.370003
658,2016-11-29,124.760002
659,2016-11-29,124.379997
660,2016-11-30,125.5
661,2016-11-30,124.370003
662,2016-12-01,125.099998
663,2016-12-01,121.419998
664,2016-12-02,121.43
665,2016-12-02,119.940002
666,2016-12-03,121.43
667,2016-12-03,119.940002
668,2016-12-04,121.43
669,2016-12-04,119.940002
670,2016-12-05,120.690002
671,2016-12-05,121.480003
672,2016-12-06,121.480003
673,2016-12-06,124.760002
674,2016-12-07,124.900002
675,2016-12-07,124.75
676,2016-12-08,125.190002
677,2016-12-08,123.0
678,2016-12-09,122.800003
679,2016-12-09,122.790001
680,2016-12-10,122.800003
681,2016-12-10,122.790001
682,2016-12-11,122.800003
683,2016-12-11,122.790001
684,2016-12-12,122.639999
685,2016-12-12,121.209999
686,2016-12-13,126.449997
687,2016-12-13,124.459999
688,2016-12-14,124.0
689,2016-12-14,122.260002
690,2016-12-15,122.800003
691,2016-12-15,122.370003
692,2016-12-16,122.440002
693,2016-12-16,122.330002
694,2016-12-17,122.440002
695,2016-12-17,122.330002
696,2016-12-18,122.440002
697,2016-12-18,122.330002
698,2016-12-19,122.32
699,2016-12-19,123.629997
700,2016-12-20,124.330002
701,2016-12-20,123.839996
702,2016-12-21,123.900002
703,2016-12-21,122.989998
704,2016-12-22,122.519997
705,2016-12-22,122.849998
706,2016-12-23,123.089996
707,2016-12-23,124.489998
708,2016-12-24,123.089996
709,2016-12-24,124.489998
710,2016-12-25,123.089996
711,2016-12-25,124.489998
712,2016-12-26,123.089996
713,2016-12-26,124.489998
714,2016-12-27,124.57
715,2016-12-27,124.279999
716,2016-12-28,124.300003
717,2016-12-28,122.379997
718,2016-12-29,122.449997
719,2016-12-29,122.169998
720,2016-12-30,122.589996
721,2016-12-30,122.279999
